Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Trimestre (Código),Trimestre,Variável (Código),Variável,Tipo de inspeção (Código),Tipo de inspeção,Referência temporal (Código),Referência temporal
3,Unidade da Federação,25,Mil litros,585069,35,São Paulo,200402,2º trimestre 2004,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,583860,35,São Paulo,200402,2º trimestre 2004,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200402,2º trimestre 2004,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200402,2º trimestre 2004,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,211,35,São Paulo,200403,3º trimestre 2004,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,586207,35,São Paulo,200403,3º trimestre 2004,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,585288,35,São Paulo,200403,3º trimestre 2004,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200403,3º trimestre 2004,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200403,3º trimestre 2004,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,210,35,São Paulo,200404,4º trimestre 2004,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,634896,35,São Paulo,200404,4º trimestre 2004,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,632138,35,São Paulo,200404,4º trimestre 2004,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200404,4º trimestre 2004,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200404,4º trimestre 2004,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,212,35,São Paulo,200501,1º trimestre 2005,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,579053,35,São Paulo,200501,1º trimestre 2005,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,575716,35,São Paulo,200501,1º trimestre 2005,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200501,1º trimestre 2005,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200501,1º trimestre 2005,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,206,35,São Paulo,200502,2º trimestre 2005,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,569592,35,São Paulo,200502,2º trimestre 2005,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,564767,35,São Paulo,200502,2º trimestre 2005,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200502,2º trimestre 2005,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200502,2º trimestre 2005,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,205,35,São Paulo,200503,3º trimestre 2005,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,575060,35,São Paulo,200503,3º trimestre 2005,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,573875,35,São Paulo,200503,3º trimestre 2005,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200503,3º trimestre 2005,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200503,3º trimestre 2005,2522,Preço médio,118225,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,204,35,São Paulo,200504,4º trimestre 2005,151,Número de informantes,118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,576153,35,São Paulo,200504,4º trimestre 2005,282,"Quantidade de leite cru, resfriado ou não, adquirido",118225,Total,115236,Total do trimestre
3,Unidade da Federação,25,Mil litros,574782,35,São Paulo,200504,4º trimestre 2005,283,"Quantidade de leite cru, resfriado ou não, industrializado",118225,Total,115236,Total do trimestre
3,Unidade da Federação,,,...,35,São Paulo,200504,4º trimestre 2005,396,Número de informantes do preço do leite,118225,Total,115236,Total do trimestre
