Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Trimestre (Código),Trimestre,Variável (Código),Variável,Finalidade da produção (Código),Finalidade da produção,Referência temporal (Código),Referência temporal
3,Unidade da Federação,23,Mil dúzias,149344,35,São Paulo,199802,2º trimestre 1998,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,532,35,São Paulo,199803,3º trimestre 1998,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,28013659,35,São Paulo,199803,3º trimestre 1998,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,152134,35,São Paulo,199803,3º trimestre 1998,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,526,35,São Paulo,199804,4º trimestre 1998,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,28434958,35,São Paulo,199804,4º trimestre 1998,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,150571,35,São Paulo,199804,4º trimestre 1998,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,553,35,São Paulo,199901,1º trimestre 1999,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,29632190,35,São Paulo,199901,1º trimestre 1999,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,155143,35,São Paulo,199901,1º trimestre 1999,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,544,35,São Paulo,199902,2º trimestre 1999,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,30639600,35,São Paulo,199902,2º trimestre 1999,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,159805,35,São Paulo,199902,2º trimestre 1999,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,540,35,São Paulo,199903,3º trimestre 1999,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,30478026,35,São Paulo,199903,3º trimestre 1999,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,159658,35,São Paulo,199903,3º trimestre 1999,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,529,35,São Paulo,199904,4º trimestre 1999,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,29856950,35,São Paulo,199904,4º trimestre 1999,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,157794,35,São Paulo,199904,4º trimestre 1999,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,527,35,São Paulo,200001,1º trimestre 2000,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,31011075,35,São Paulo,200001,1º trimestre 2000,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,163345,35,São Paulo,200001,1º trimestre 2000,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,519,35,São Paulo,200002,2º trimestre 2000,151,Número de informantes,72208,Total,115236,Total do trimestre
3,Unidade da Federação,24,Cabeças,31057564,35,São Paulo,200002,2º trimestre 2000,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,72208,Total,115236,Total do trimestre
3,Unidade da Federação,23,Mil dúzias,163730,35,São Paulo,200002,2º trimestre 2000,29,Quantidade de ovos produzidos,72208,Total,115236,Total do trimestre
3,Unidade da Federação,1020,Unidades,508,35,São Paulo,200003,3º trimestre 2000,151,Número de informantes,72208,Total,115236,Total do trimestre
